Algorytm 123,100,80,47744,0.000000
Nearest Neighbor,100,80,3861,0.000000
Farthest Insertion,100,80,6449,0.023069
2-opt,100,80,3861,0.055147
Simulated Annealing,100,80,3346,25.337178
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,90,48246,0.000000
Nearest Neighbor,100,90,4410,0.000000
Farthest Insertion,100,90,7257,0.022725
2-opt,100,90,3945,0.166756
Simulated Annealing,100,90,4077,25.605485
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,10,197453,0.000000
Nearest Neighbor,200,10,9895,0.000892
Farthest Insertion,200,10,17471,0.208082
2-opt,200,10,8796,0.910537
Simulated Annealing,200,10,8448,46.172088
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,20,204422,0.000000
Nearest Neighbor,200,20,12154,0.002009
Farthest Insertion,200,20,19706,0.186416
2-opt,200,20,11244,1.431929
Simulated Annealing,200,20,10457,46.346667
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,30,204814,0.000000
Nearest Neighbor,200,30,10334,0.002002
Farthest Insertion,200,30,17947,0.180101
2-opt,200,30,8960,1.375157
Simulated Annealing,200,30,8352,46.208166
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,40,195169,0.000000
Nearest Neighbor,200,40,11713,0.002000
Farthest Insertion,200,40,19882,0.179251
2-opt,200,40,10414,0.928708
Simulated Annealing,200,40,8624,46.908998
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,50,194028,0.000000
Nearest Neighbor,200,50,9978,0.002001
Farthest Insertion,200,50,19468,0.185212
2-opt,200,50,9978,0.488807
Simulated Annealing,200,50,8915,47.023344
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,60,204632,0.000000
Nearest Neighbor,200,60,11938,0.002273
Farthest Insertion,200,60,19381,0.191516
2-opt,200,60,11938,0.444816
Simulated Annealing,200,60,11184,46.690020
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,70,202940,0.000000
Nearest Neighbor,200,70,10368,0.001904
Farthest Insertion,200,70,18551,0.177105
2-opt,200,70,10368,0.460097
Simulated Annealing,200,70,8829,46.639220
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,80,207112,0.000000
Nearest Neighbor,200,80,9352,0.002082
Farthest Insertion,200,80,19687,0.169175
2-opt,200,80,9352,0.467275
Simulated Annealing,200,80,8405,46.362573
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,90,191140,0.000000
Nearest Neighbor,200,90,8868,0.001102
Farthest Insertion,200,90,19611,0.166986
2-opt,200,90,8055,0.899848
Simulated Annealing,200,90,8705,47.230338
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,10,453458,0.001013
Nearest Neighbor,300,10,17659,0.004994
Farthest Insertion,300,10,35232,0.602431
2-opt,300,10,17166,3.288454
Simulated Annealing,300,10,14820,68.774657
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,20,444365,0.000000
Nearest Neighbor,300,20,17983,0.003040
Farthest Insertion,300,20,37559,0.591453
2-opt,300,20,17254,3.320816
Simulated Annealing,300,20,14708,70.525386
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,30,453568,0.000000
Nearest Neighbor,300,30,18714,0.003977
Farthest Insertion,300,30,35358,0.587366
2-opt,300,30,16817,3.325169
Simulated Annealing,300,30,15993,68.890294
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,40,464207,0.001001
Nearest Neighbor,300,40,14465,0.003244
Farthest Insertion,300,40,34774,0.588169
2-opt,300,40,14465,1.647950
Simulated Annealing,300,40,13698,69.759700
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,50,462487,0.000000
Nearest Neighbor,300,50,19515,0.003961
Farthest Insertion,300,50,36876,0.596586
2-opt,300,50,15626,13.582499
Simulated Annealing,300,50,15479,68.385400
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,60,480733,0.000904
Nearest Neighbor,300,60,17184,0.004994
Farthest Insertion,300,60,34315,0.595310
2-opt,300,60,17184,1.681959
Simulated Annealing,300,60,14473,68.495215
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,70,446728,0.001092
Nearest Neighbor,300,70,19493,0.002928
Farthest Insertion,300,70,32076,0.590538
2-opt,300,70,19014,5.143415
Simulated Annealing,300,70,17191,70.020564
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,80,436239,0.001005
Nearest Neighbor,300,80,13913,0.004994
Farthest Insertion,300,80,32233,0.609751
2-opt,300,80,12764,3.391033
Simulated Annealing,300,80,12104,69.628850
Metoda,n,seed,Koszt,Czas
Algorytm 123,300,90,457543,0.000000
Nearest Neighbor,300,90,16792,0.003996
Farthest Insertion,300,90,33260,0.592093
2-opt,300,90,15346,3.449033
Simulated Annealing,300,90,13926,69.564702
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,10,787583,0.000000
Nearest Neighbor,400,10,20491,0.006986
Farthest Insertion,400,10,58384,1.428589
2-opt,400,10,20491,4.115682
Simulated Annealing,400,10,17937,93.394065
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,20,790404,0.000000
Nearest Neighbor,400,20,27368,0.005995
Farthest Insertion,400,20,54889,1.407812
2-opt,400,20,23813,12.339180
Simulated Annealing,400,20,24672,92.716239
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,30,817163,0.000000
Nearest Neighbor,400,30,24222,0.007006
Farthest Insertion,400,30,53553,1.421618
2-opt,400,30,24222,4.067101
Simulated Annealing,400,30,20697,93.880728
Metoda,n,seed,Koszt,Czas
Algorytm 123,400,40,789918,0.000000
