Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,30,24222,0.002319
Tabu Search,400,30,19325,10.231143
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,40,20275,0.002287
Tabu Search,400,40,17688,10.208393
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,50,22729,0.002309
Tabu Search,400,50,19895,10.342298
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,60,22185,0.002203
Tabu Search,400,60,20034,10.268555
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,70,19698,0.002257
Tabu Search,400,70,18638,10.152297
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,80,26890,0.002320
Tabu Search,400,80,19747,11.092191
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,400,90,23093,0.002294
Tabu Search,400,90,20201,10.180409
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,10,34773,0.003732
Tabu Search,500,10,24409,11.605987
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,20,29114,0.003741
Tabu Search,500,20,23924,11.677238
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,30,31726,0.003702
Tabu Search,500,30,26472,11.504032
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,40,42808,0.003631
Tabu Search,500,40,30596,11.587576
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,50,38010,0.003686
Tabu Search,500,50,27390,11.714230
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,60,35955,0.003628
Tabu Search,500,60,26891,11.545024
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,70,31662,0.003737
Tabu Search,500,70,28267,11.768901
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,80,35819,0.003722
Tabu Search,500,80,26033,11.620291
Metoda,n,seed,Koszt,Czas
Nearest Neighbor,500,90,34847,0.003690
Tabu Search,500,90,26997,11.558299
